run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
38485.848219953186,40960.536564868344,46605.22220478144,29358.125251142104,35208.64953222757,38693.70078963009,74677.18730995765,38500.99910178226,90849.09918086337,91701.20722951644
36117.423743686595,30239.79205827645,46605.22220478144,29358.125251142104,35208.64953222757,38580.5544742272,73231.91508363107,37249.38047188819,90849.09918086337,41342.2808469971
36117.423743686595,30239.79205827645,33161.666494509554,29358.125251142104,35208.64953222757,38580.5544742272,38880.52887384769,37249.38047188819,57604.46623763334,26935.522959069403
36117.423743686595,28618.195544767477,26788.74888281245,29358.125251142104,31004.13519115823,23755.809986592223,30525.86397262567,25611.514075212508,57604.46623763334,26935.522959069403
36117.423743686595,28618.195544767477,26788.74888281245,29358.125251142104,31004.13519115823,23755.809986592223,30525.86397262567,25611.514075212508,43206.13887932527,26935.522959069403
28103.911347350044,28618.195544767477,26788.74888281245,29358.125251142104,29073.994186397496,23755.809986592223,30525.86397262567,25611.514075212508,39127.636452316874,26935.522959069403
25758.370387879448,28618.195544767477,26788.74888281245,29358.125251142104,29073.994186397496,23755.809986592223,30525.86397262567,25611.514075212508,39127.636452316874,26935.522959069403
25758.370387879448,28618.195544767477,26788.74888281245,25031.538081284147,29073.994186397496,23755.809986592223,30525.86397262567,25611.514075212508,39127.636452316874,26935.522959069403
25758.370387879448,28618.195544767477,26788.74888281245,25031.538081284147,29073.994186397496,23755.809986592223,30525.86397262567,25611.514075212508,38933.95193822217,26935.522959069403
25758.370387879448,28618.195544767477,26788.74888281245,25031.538081284147,29073.994186397496,23755.809986592223,30525.86397262567,24839.46382756173,38933.95193822217,26935.522959069403
25758.370387879448,28618.195544767477,26788.74888281245,16091.561663955814,26792.044881614627,23755.809986592223,30525.86397262567,24839.46382756173,38933.95193822217,26935.522959069403
25758.370387879448,28618.195544767477,26788.74888281245,16091.561663955814,26792.044881614627,23755.809986592223,21335.064311195347,24839.46382756173,38933.95193822217,23636.255880247205
25758.370387879448,28618.195544767477,26788.74888281245,16091.561663955814,18262.316489910318,23755.809986592223,21335.064311195347,19220.416621899098,38933.95193822217,23636.255880247205
25758.370387879448,28618.195544767477,26788.74888281245,15489.354812089574,18262.316489910318,23755.809986592223,21335.064311195347,19220.416621899098,38933.95193822217,23636.255880247205
25758.370387879448,28618.195544767477,26788.74888281245,15489.354812089574,16982.301892795276,23755.809986592223,21335.064311195347,19220.416621899098,28095.14309509252,23636.255880247205
25758.370387879448,22244.11768635929,26788.74888281245,15489.354812089574,16982.301892795276,23755.809986592223,21335.064311195347,19220.416621899098,28095.14309509252,23636.255880247205
25758.370387879448,22244.11768635929,26788.74888281245,15489.354812089574,16982.301892795276,16945.86324095244,21335.064311195347,18239.204372920492,28095.14309509252,23636.255880247205
25758.370387879448,22244.11768635929,26788.74888281245,15489.354812089574,16972.059813833745,16945.86324095244,21335.064311195347,18239.204372920492,28095.14309509252,18925.024037399067
22552.467426909203,20955.596083781973,26788.74888281245,15489.354812089574,12890.044433232035,16945.86324095244,21335.064311195347,17231.701342547512,28095.14309509252,14273.818118514166
22552.467426909203,20955.596083781973,22637.927601225943,12981.029551508494,12890.044433232035,16945.86324095244,21335.064311195347,17231.701342547512,23387.1561076601,14273.818118514166
22552.467426909203,20955.596083781973,21334.723192442885,12981.029551508494,12890.044433232035,16945.86324095244,20324.76525244345,14302.703257415575,20092.965355048793,14097.817572751399
22552.467426909203,20955.596083781973,21334.723192442885,12981.029551508494,12890.044433232035,16945.86324095244,18991.06416634621,13810.289518111906,15329.058185492922,8490.944637309412
22552.467426909203,20955.596083781973,19038.177645060357,12981.029551508494,12539.768993882124,16945.86324095244,17896.007717611716,10102.87609106947,15329.058185492922,8490.944637309412
22552.467426909203,20955.596083781973,19038.177645060357,12828.191810401691,11046.527475612322,16871.8298316013,17896.007717611716,10102.87609106947,14093.131707446451,8490.944637309412
22552.467426909203,20955.596083781973,18814.451647936836,12828.191810401691,5434.938017268256,11864.75911236673,17896.007717611716,10102.87609106947,10469.559325332091,8490.944637309412
22552.467426909203,20955.596083781973,18814.451647936836,10091.655614806488,5434.938017268256,11864.75911236673,14595.006029208686,10102.87609106947,9066.66539398617,8490.944637309412
22552.467426909203,20955.596083781973,18814.451647936836,10091.655614806488,4728.4699028036375,11864.75911236673,14595.006029208686,10102.87609106947,9066.66539398617,8490.944637309412
22552.467426909203,20955.596083781973,18814.451647936836,10091.655614806488,3374.0520322792145,11864.75911236673,14595.006029208686,10102.87609106947,7386.022077073942,8490.944637309412
22552.467426909203,20955.596083781973,18814.451647936836,10091.655614806488,3374.0520322792145,11864.75911236673,14595.006029208686,10102.87609106947,7386.022077073942,8490.944637309412
22552.467426909203,20955.596083781973,18607.169108315975,10091.655614806488,3374.0520322792145,10507.969467938708,14595.006029208686,10102.87609106947,7386.022077073942,8490.944637309412
22552.467426909203,20955.596083781973,16139.227970264252,7628.384191365437,3374.0520322792145,10507.969467938708,8799.649391287967,7893.018398155494,7386.022077073942,7731.851118912348
21471.282199194527,19799.558690577578,16139.227970264252,6955.5715500830665,3374.0520322792145,8484.713500046351,8799.649391287967,7893.018398155494,7386.022077073942,7408.466067904162
21471.282199194527,17673.897200283172,14945.78485514511,6955.5715500830665,3374.0520322792145,8484.713500046351,8799.649391287967,7893.018398155494,5685.23708329732,7408.466067904162
21251.32225522873,17673.897200283172,13517.46030780331,6955.5715500830665,3374.0520322792145,8376.094933136494,8799.649391287967,7893.018398155494,5685.23708329732,7408.466067904162
16917.414656318848,16176.404820173377,13517.46030780331,6955.5715500830665,3374.0520322792145,8376.094933136494,8799.649391287967,7893.018398155494,5685.23708329732,7408.466067904162
16917.414656318848,11924.88523391397,13517.46030780331,5787.994486952015,3374.0520322792145,8376.094933136494,8799.649391287967,7893.018398155494,5685.23708329732,5385.293306470899
16847.42455228458,11924.88523391397,13517.46030780331,5787.994486952015,3374.0520322792145,8376.094933136494,8602.225514633508,7893.018398155494,5685.23708329732,5385.293306470899
15556.34431520328,11924.88523391397,13517.46030780331,5787.994486952015,3374.0520322792145,8376.094933136494,8602.225514633508,7893.018398155494,5685.23708329732,5385.293306470899
15556.34431520328,11924.88523391397,11426.700441559053,5787.994486952015,3241.584657362475,7360.906957177839,8602.225514633508,5422.946885023783,5654.568910405591,4839.720935572858
15556.34431520328,11924.88523391397,10694.820955229414,5787.994486952015,3241.584657362475,7360.906957177839,7480.233002822524,5422.946885023783,5654.568910405591,4839.720935572858
13490.481803155908,11406.219807960972,10694.820955229414,4372.236878355442,3241.584657362475,7079.2820132173565,7480.233002822524,5076.925787651358,5654.568910405591,4258.466049938621
13490.481803155908,8929.518537647,9740.455568949155,4372.236878355442,2473.072785836718,6770.218915554759,7397.946976811322,5076.925787651358,3906.748241816987,4258.466049938621
13341.245314853204,8929.518537647,9740.455568949155,4156.571288332692,2473.072785836718,6770.218915554759,5706.363902951431,5076.925787651358,3794.1285195007176,4258.466049938621
13341.245314853204,8929.518537647,8365.582742823952,3670.236068854268,2473.072785836718,6770.218915554759,5706.363902951431,4594.019366472607,2856.7972757106395,3522.2372356034216
13341.245314853204,8929.518537647,8365.582742823952,3670.236068854268,2473.072785836718,6770.218915554759,5611.174287244999,3374.0003337280555,2856.7972757106395,2752.3322326427024
11323.758764381364,8929.518537647,8243.070611138748,3670.236068854268,2322.259999866667,6770.218915554759,5611.174287244999,3374.0003337280555,2856.7972757106395,2752.3322326427024
11323.758764381364,6430.157188511877,8146.865587480787,3670.236068854268,1680.9506696976414,6770.218915554759,5438.703082764978,3374.0003337280555,2856.7972757106395,2752.3322326427024
10051.715752431644,6430.157188511877,8146.865587480787,3670.236068854268,1680.9506696976414,6709.361533420866,5438.703082764978,3374.0003337280555,2856.7972757106395,2752.3322326427024
8767.739724589454,6430.157188511877,7612.614662493108,3670.236068854268,1680.9506696976414,5549.820451647102,5287.033194068274,3374.0003337280555,2856.7972757106395,2603.4520223448526
7443.146073270048,6042.623402666091,5022.154787972962,3670.236068854268,1680.9506696976414,5549.820451647102,5287.033194068274,3374.0003337280555,2856.7972757106395,2374.6422883287214
4800.97917204158,5004.052785800437,5022.154787972962,3670.236068854268,1680.9506696976414,5512.211171493711,4162.698681712426,3374.0003337280555,2687.0977464549073,2374.6422883287214
